"Study","Operator","Contact","Hand","Repeat","Cell_DNA","Cell_free_DNA","Total_DNA"
"B","Op1","B","left","Rep1",0.486043212004006,0.0366763357305899,0.522719547734596
"B","Op1","B","left","Rep2",0.420594564639032,0.300376920495182,0.720971485134214
"B","Op1","B","left","Rep3",0.632613012567163,0.522429146803916,1.15504215937108
"B","Op1","A","right","Rep1",0.216218119021505,0.0540466455277056,0.270264764549211
"B","Op1","A","right","Rep2",0.106937694363296,0.024143815971911,0.131081510335207
"B","Op1","A","right","Rep3",0.245762837585062,0.223152234684676,0.468915072269738
"B","Op2","B","left","Rep1",0.00572134849790018,0,0.00572134849790018
"B","Op2","B","left","Rep2",0.073265130049549,0.101528686354868,0.174793816404417
"B","Op2","A","right","Rep2",0.070802791742608,0.0146443060657475,0.0854470978083555
"B","Op2","A","right","Rep3",0.0534124330442864,0,0.0534124330442864
"B","Op3","B","left","Rep1",0.334204395767301,0.206618214724585,0.540822610491887
"B","Op3","B","left","Rep2",0.277041364461184,0.12825332232751,0.405294686788693
"B","Op3","B","left","Rep3",0.276844995096326,0.117914823931642,0.394759819027968
"B","Op3","A","right","Rep1",0.46193681191653,0.14453767798841,0.60647448990494
"B","Op3","A","right","Rep2",0.0865594338392839,0.154383288463578,0.240942722302862
"B","Op3","A","right","Rep3",0.0437815528130159,0,0.0437815528130159
